#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1320805000 ; 0.00249272 ; 3.30261 ; 0 ; 0
1320977000 ; 0.00166874 ; 3.30276 ; 0 ; 0
1321148000 ; 0.00217228 ; 3.30292 ; 0 ; 0
1321317000 ; 0.00171071 ; 3.30284 ; 0 ; 0
1321492000 ; 0.00125676 ; 3.30254 ; 0 ; 0
1321671000 ; 0.00161915 ; 3.30269 ; 0 ; 0
1321839000 ; 0.00130635 ; 3.30276 ; 0 ; 0
1322007000 ; 0.000509076 ; 3.30284 ; 0 ; 0
1322179000 ; 0.00216847 ; 3.30276 ; 0 ; 0
1322349000 ; 0.00175267 ; 3.30284 ; 0 ; 0
1322520000 ; 0.00189763 ; 3.30261 ; 0 ; 0
1322690000 ; 12.4877 ; 3.30444 ; 0 ; 0
1322877000 ; 12.4584 ; 3.30414 ; 0 ; 0
1323049000 ; 12.4938 ; 3.30414 ; 0 ; 0
1323210000 ; 12.4986 ; 3.30475 ; 0 ; 0
1323381000 ; 12.5035 ; 3.30681 ; 0 ; 0
1323562000 ; 12.5035 ; 3.30444 ; 0 ; 0
1323733000 ; 12.523 ; 3.30452 ; 0 ; 0
1323908000 ; 12.5412 ; 3.30482 ; 0 ; 0
1324082000 ; 12.5485 ; 3.30444 ; 0 ; 0
1324267000 ; 0.00241261 ; 3.30299 ; 0 ; 0
1324439000 ; 0.00245839 ; 3.30276 ; 0 ; 0
1324616000 ; 0.00266819 ; 3.30254 ; 0 ; 0
1324790000 ; 0.00153523 ; 3.30345 ; 0 ; 0
1324961000 ; 0.00191288 ; 3.3033 ; 0 ; 0
1325137000 ; 0.00300007 ; 3.30299 ; 0 ; 0
1325308000 ; 0.00227528 ; 3.30315 ; 0 ; 0
1325490000 ; 0.00200062 ; 3.30315 ; 0 ; 0
1325666000 ; 0.00142079 ; 3.30292 ; 0 ; 0
1325840000 ; 0.00146275 ; 3.30299 ; 0 ; 0
1326013000 ; 0.00193577 ; 3.30284 ; 0 ; 0
1326191000 ; 0.00195866 ; 3.30261 ; 0 ; 0
1326370000 ; 0.00183659 ; 3.30597 ; 0 ; 0
